,vehicle_id,timestamp,dt,IST,ts_mins,total_battery_current,bat_voltage,gear_position,odometerreading,vehicle_speed_vcu,vehiclereadycondition,gun_connection_status,ignitionstatus,latitude,longitude,altitude,ground_speed_kmph,charger_proximity,dist_from_loc,source_row_index,nxt_state,session_number,session_rank_asc,session_rank_desc
173413,19,2025-10-02 10:18:00.177,2025-10-02,2025-10-02 15:48:00.177,2025-10-02 10:18:00,-72.0,637.3,2.0,10939.625,26.93,1.0,0.0,1.0,28.42441,76.99332,222.4,22.66,GGN,213.61,1372433,GGN,108,3766,1
173414,19,2025-10-02 15:35:13.970,2025-10-02,2025-10-02 21:05:13.970,2025-10-02 15:35:00,119.2,627.8,2.0,11143.625,74.56,1.0,0.0,1.0,29.548187,77.74669,248.4,73.69,MZF,167.61,1386316,GGN,109,1,343
173756,19,2025-10-02 16:26:20.390,2025-10-02,2025-10-02 21:56:20.390,2025-10-02 16:26:00,8.7,631.2,0.0,11144.25,0.0,1.0,0.0,1.0,29.549446,77.74752,256.2,0.0,MZF,17.6,1387322,MZF,109,343,1
173757,19,2025-10-02 18:43:00.855,2025-10-02,2025-10-03 00:13:00.855,2025-10-02 18:43:00,188.7,617.1,2.0,11269.717567172896,46.8,1.0,0.0,1.0,30.289032,77.99999,617.1,7.34,DDN,172.43,1391899,MZF,110,1,2048
175804,19,2025-10-02 23:34:05.115,2025-10-02,2025-10-03 05:04:05.115,2025-10-02 23:34:00,17.7,639.0,2.0,11271.0,0.0,1.0,0.0,1.0,30.28932,78.0003,602.2,49.93,DDN,215.56,1399915,DDN,110,2048,1
175805,19,2025-10-03 02:06:04.824,2025-10-03,2025-10-03 07:36:04.824,2025-10-03 02:06:00,84.1,633.5,2.0,11396.220065789474,80.83,1.0,0.0,1.0,29.550898,77.74928,246.7,65.24,MZF,225.13,1405918,DDN,111,1,34
175838,19,2025-10-03 02:51:00.645,2025-10-03,2025-10-03 08:21:00.645,2025-10-03 02:51:00,-13.4,638.8,2.0,11398.5,14.88,1.0,0.0,1.0,29.550735,77.749176,249.3,20.39,MZF,205.06,1406153,MZF,111,34,1
175839,19,2025-10-03 07:32:04.143,2025-10-03,2025-10-03 13:02:04.143,2025-10-03 07:32:00,38.2,623.8,2.0,11597.400943396226,25.11,1.0,0.0,1.0,28.424252,76.9931,216.9,2.72,GGN,185.92,1412891,MZF,112,1,1811
177649,19,2025-10-05 10:12:07.376,2025-10-05,2025-10-05 15:42:07.376,2025-10-05 10:12:00,39.2,637.7,2.0,11717.0,16.32,1.0,0.0,1.0,28.424248,76.99304,207.7,9.69,GGN,181.43,1445183,GGN,112,1811,1
177650,19,2025-10-05 15:59:00.505,2025-10-05,2025-10-05 21:29:00.505,2025-10-05 15:59:00,-52.5,629.2,2.0,11920.573581560284,72.32,1.0,0.0,1.0,29.549206,77.74752,256.2,5.49,MZF,28.74,1453702,GGN,113,1,1151
178800,19,2025-10-05 16:43:04.685,2025-10-05,2025-10-05 22:13:04.685,2025-10-05 16:43:00,16.5,630.5,2.0,11921.5,0.0,1.0,0.0,1.0,29.549402,77.74769,253.0,0.23,MZF,1.45,1456030,MZF,113,1151,1
178801,19,2025-10-05 18:55:05.841,2025-10-05,2025-10-06 00:25:05.841,2025-10-05 18:55:00,-237.6,621.6,2.0,12046.8132124943,44.54,1.0,0.0,1.0,30.289152,78.00075,608.5,39.67,DDN,229.32,1458824,MZF,114,1,4385
183185,19,2025-10-05 23:30:01.934,2025-10-05,2025-10-06 05:00:01.934,2025-10-05 23:30:00,67.1,639.2,2.0,12048.125,34.43,1.0,0.0,1.0,30.289293,77.99999,609.7,33.22,DDN,197.56,1471926,DDN,114,4385,1
183186,19,2025-10-06 02:00:46.936,2025-10-06,2025-10-06 07:30:46.936,2025-10-06 02:00:00,,,,12175.5,,,,0.0,29.549465,77.74746,246.2,0.17,MZF,23.74,1477134,DDN,115,1,1091
184276,19,2025-10-06 02:42:00.315,2025-10-06,2025-10-06 08:12:00.315,2025-10-06 02:42:00,91.7,634.6,2.0,12176.013779527559,52.92,1.0,0.0,1.0,29.549208,77.747795,251.2,49.15,MZF,24.65,1479185,MZF,115,1091,1
184277,19,2025-10-06 08:44:01.937,2025-10-06,2025-10-06 14:14:01.937,2025-10-06 08:44:00,-37.6,625.3,2.0,12383.625,27.33,1.0,0.0,1.0,28.424164,76.993,218.2,27.5,GGN,172.09,1488353,MZF,116,1,1044
185320,19,2025-10-06 10:35:13.398,2025-10-06,2025-10-06 16:05:13.398,2025-10-06 10:35:00,7.3,643.0,2.0,12384.0,0.0,1.0,0.0,1.0,28.423746,76.992584,225.2,0.0,GGN,110.66,1491834,GGN,116,1044,1
185321,19,2025-10-06 16:54:03.210,2025-10-06,2025-10-06 22:24:03.210,2025-10-06 16:54:00,-54.5,626.4,2.0,12588.300210084033,55.41,1.0,0.0,1.0,29.54911,77.74747,255.8,11.17,MZF,40.27,1500807,GGN,117,1,204
185524,19,2025-10-06 17:31:02.230,2025-10-06,2025-10-06 23:01:02.230,2025-10-06 17:31:00,,,2.0,12588.5,4.93,1.0,0.0,1.0,29.551147,77.749306,258.1,0.0,MZF,247.73,1501354,MZF,117,204,1
185525,19,2025-10-06 19:29:01.030,2025-10-06,2025-10-07 00:59:01.030,2025-10-06 19:29:00,,,2.0,12714.347630407125,11.15,1.0,0.0,1.0,30.289127,78.00033,611.4,63.43,DDN,200.03,1504893,MZF,118,1,4529
190053,19,2025-10-06 23:33:00.216,2025-10-06,2025-10-07 05:03:00.216,2025-10-06 23:33:00,8.8,635.0,2.0,12715.094638949671,50.34,1.0,0.0,1.0,30.289082,77.99999,588.8,0.0,DDN,177.15,1515862,DDN,118,4529,1
190054,19,2025-10-07 02:08:02.857,2025-10-07,2025-10-07 07:38:02.857,2025-10-07 02:08:00,46.4,633.0,2.0,12840.424910071943,80.61,1.0,0.0,1.0,29.549477,77.74804,254.6,76.05,MZF,33.84,1521635,DDN,119,1,46
190099,19,2025-10-07 02:43:03.257,2025-10-07,2025-10-07 08:13:03.257,2025-10-07 02:43:00,,,2.0,12843.076761744966,39.8,1.0,0.0,1.0,29.547941,77.74667,252.1,51.33,MZF,191.52,1521984,MZF,119,46,1
190100,19,2025-10-07 07:25:19.486,2025-10-07,2025-10-07 12:55:19.486,2025-10-07 07:25:00,64.8,627.8,2.0,13041.875,11.77,1.0,0.0,,28.424528,76.993454,222.9,25.32,GGN,232.15,1528417,MZF,120,1,1302
191401,19,2025-10-07 10:33:00.672,2025-10-07,2025-10-07 16:03:00.672,2025-10-07 10:33:00,21.9,640.7,2.0,13042.5,3.33,1.0,0.0,1.0,28.424534,76.993484,217.1,10.95,GGN,234.74,1533502,GGN,120,1302,1
191402,19,2025-10-07 20:37:02.993,2025-10-07,2025-10-08 02:07:02.993,2025-10-07 20:37:00,-13.8,627.0,2.0,13246.101319947946,77.26,1.0,0.0,1.0,29.548178,77.746735,253.5,61.33,MZF,165.94,1549704,GGN,121,1,1602
193003,19,2025-10-07 21:37:06.643,2025-10-07,2025-10-08 03:07:06.643,2025-10-07 21:37:00,45.7,630.6,2.0,13246.5,4.05,1.0,0.0,1.0,29.55026,77.74853,255.7,48.8,MZF,123.88,1552796,MZF,121,1602,1
193004,19,2025-10-08 00:00:04.224,2025-10-08,2025-10-08 05:30:04.224,2025-10-08 00:00:00,31.2,623.5,2.0,13372.125,29.15,1.0,0.0,,30.289133,78.000656,601.1,26.12,DDN,221.41,1557487,MZF,122,1,1942
194945,19,2025-10-08 02:23:00.243,2025-10-08,2025-10-08 07:53:00.243,2025-10-08 02:23:00,38.1,640.0,2.0,13373.375,12.41,1.0,0.0,1.0,30.289309,78.00041,593.0,4.24,DDN,220.73,1563615,DDN,122,1942,1
194946,19,2025-10-08 04:51:01.283,2025-10-08,2025-10-08 10:21:01.283,2025-10-08 04:51:00,-53.7,632.1,2.0,13499.0,57.86,1.0,0.0,,29.548956,77.747505,256.8,53.71,MZF,54.14,1570003,DDN,123,1,227
195172,19,2025-10-08 05:45:04.607,2025-10-08,2025-10-08 11:15:04.607,2025-10-08 05:45:00,-176.6,638.8,2.0,13501.0,37.27,1.0,0.0,1.0,29.549376,77.74793,253.3,0.0,MZF,22.82,1570765,MZF,123,227,1
195173,19,2025-10-08 11:39:00.818,2025-10-08,2025-10-08 17:09:00.818,2025-10-08 11:39:00,24.4,627.8,2.0,13699.625,22.26,1.0,0.0,1.0,28.424105,76.99294,226.1,18.75,GGN,163.31,1579380,MZF,124,1,6658
201830,19,2025-10-16 03:12:15.091,2025-10-16,2025-10-16 08:42:15.091,2025-10-16 03:12:00,16.1,637.6,1.0,13801.5,3.27,1.0,0.0,1.0,28.422873,76.99143,225.7,0.0,GGN,38.21,1614873,GGN,124,6658,1
